participant_id,episode_index,episode_phase,policy_id,policy_short,metric,metric_value,total_dishes,total_human_steps,n_rounds,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score,ai_steps,emb_x,emb_y
Thinpath_P05,11,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,ai_reward_score,614.3333333333334,11.0,291.0,3,750.6666666666666,136.33333333333334,614.3333333333334,8.0,14.0,82.33333333333333,20.903227,-76.17148
Thinpath_P05,12,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,ai_reward_score,138.0,13.0,291.0,3,847.6666666666666,709.6666666666666,138.0,7.0,15.0,122.0,-1.7208959,-0.7372467
Thinpath_P05,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,ai_reward_score,1377.3333333333333,20.0,318.0,3,1411.3333333333333,34.0,1377.3333333333333,4.0,18.0,119.33333333333333,52.37194,-64.3468
Thinpath_P05,14,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,ai_reward_score,471.3333333333333,10.0,232.0,3,637.3333333333334,166.0,471.3333333333333,12.0,12.0,135.33333333333334,13.387434,25.06189
Thinpath_P05,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,ai_reward_score,363.3333333333333,7.0,227.0,3,374.3333333333333,11.0,363.3333333333333,12.0,8.0,133.33333333333334,-45.946297,-3.975665
Thinpath_P05,16,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.8,a0sp_1_helping0_True_gamma0.8,ai_reward_score,-46.333333333333336,5.0,201.0,3,186.66666666666666,233.0,-46.333333333333336,17.0,4.0,96.33333333333333,-88.61982,-60.256435
Thinpath_P06,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,ai_reward_score,154.0,5.0,307.0,3,258.3333333333333,104.33333333333333,154.0,16.0,1.0,102.66666666666667,-34.625923,18.150135
Thinpath_P06,2,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,ai_reward_score,-36.5,3.0,190.0,2,268.5,305.0,-36.5,11.0,1.0,56.5,-30.803719,72.97943
Thinpath_P06,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,ai_reward_score,293.6666666666667,12.0,361.0,3,740.0,446.3333333333333,293.6666666666667,7.0,15.0,159.66666666666666,23.07529,-21.088758
Thinpath_P06,4,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,417.6666666666667,8.0,219.0,3,521.3333333333334,103.66666666666667,417.6666666666667,16.0,3.0,69.0,0.52687544,49.09936
Thinpath_P06,5,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.8,a0sp_1_helping0_True_gamma0.8,ai_reward_score,70.0,11.0,377.0,3,641.0,571.0,70.0,13.0,12.0,150.0,-88.61982,-60.256435
Thinpath_P06,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,ai_reward_score,477.6666666666667,17.0,426.0,3,1105.6666666666667,628.0,477.6666666666667,8.0,17.0,149.0,-45.946297,-3.975665
Thinpath_P06,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,ai_reward_score,111.0,8.0,282.0,3,457.0,346.0,111.0,17.0,3.0,99.0,-79.82283,29.541203
Thinpath_P06,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.95,a0sp_3_helping0_True_gamma0.95,ai_reward_score,998.6666666666666,18.0,408.0,3,1189.3333333333333,190.66666666666666,998.6666666666666,6.0,15.0,111.33333333333333,-111.805916,-53.910435
Thinpath_P06,11,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,ai_reward_score,-42.0,12.0,402.0,3,727.3333333333334,769.3333333333334,-42.0,5.0,7.0,85.33333333333333,55.081795,8.812907
Thinpath_P06,12,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,ai_reward_score,833.3333333333334,15.0,410.0,3,966.6666666666666,133.33333333333334,833.3333333333334,13.0,7.0,106.66666666666667,-44.978638,-33.83267
Thinpath_P06,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,ai_reward_score,413.0,2.0,69.0,1,404.0,-9.0,413.0,17.0,3.0,37.0,52.37194,-64.3468
Thinpath_P06,14,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,ai_reward_score,147.66666666666666,14.0,485.0,3,849.3333333333334,701.6666666666666,147.66666666666666,16.0,6.0,109.0,39.251617,65.513504
Thinpath_P06,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,ai_reward_score,722.6666666666666,15.0,448.0,3,886.6666666666666,164.0,722.6666666666666,15.0,8.0,134.0,10.799539,109.37905
Thinpath_P06,16,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.9,a0sp_0_helping0_False_gamma0.9,ai_reward_score,750.6666666666666,14.0,421.0,3,847.0,96.33333333333333,750.6666666666666,6.0,8.0,122.66666666666667,68.68631,91.0827
