Round,Timestamp,AI_X,AI_Y,Human_X,Human_Y,AI_Holding_Dish,Human_Holding_Dish,Action_Human,Score_Count
2,48.443,1,2,1,3,False,False,STAY,13
2,48.643,1,2,1,3,False,False,RIGHT,13
2,48.843,1,2,1,3,False,True,STAY,13
2,49.043,1,2,1,3,False,True,DOWN,13
2,49.243,1,2,2,3,False,True,DOWN,13
2,49.443,1,2,3,3,False,True,STAY,13
2,49.643,1,1,3,3,False,True,LEFT,13
2,49.843,1,2,3,2,False,True,STAY,13
2,50.043,1,3,3,2,False,True,DOWN,13
2,50.243,1,3,3,2,False,False,STAY,14
2,50.443,1,3,3,2,False,False,LEFT,14
2,50.643,1,3,3,1,False,False,STAY,14
2,50.844,1,3,3,1,False,False,STAY,14
2,51.044,1,3,3,1,True,False,UP,14
2,51.244,2,3,2,1,True,False,STAY,14
2,51.444,3,3,2,1,True,False,UP,14
2,51.644,3,2,1,1,True,False,STAY,14
2,51.844,3,2,1,1,False,False,RIGHT,15
2,52.044,3,3,1,2,False,False,STAY,15
2,52.244,2,3,1,2,False,False,RIGHT,15
2,52.444,1,3,1,2,False,False,STAY,15
2,52.644,1,3,1,2,False,False,LEFT,15
2,52.844,2,3,1,1,False,False,STAY,15
2,53.044,3,3,1,1,False,False,DOWN,15
2,53.244,3,2,2,1,False,False,RIGHT,15
